sku,category,unit_price
4U_SERVICE_22,Mobiles & Tablets,56.0
4U_SERVICE_36,Mobiles & Tablets,21.6
4U_SERVICE_7,Mobiles & Tablets,62.5
7CF5AFBC3B16A32A,Superstore,35.9
A4-TECH_HEAD-PHONE-M-660-BLOODY,Mobiles & Tablets,444.4
A4TECH_EARPHONE-MK-790,Mobiles & Tablets,165.6
A4TECH_GAMING-BLOODY-HEAD-SET-G-300,Mobiles & Tablets,157.3
A4TECH_GAMING-BLOODY-MOUSE-TL-80,Computing,273.7
A4TECH_GAMING-BLOODY-MOUSE-V7M,Computing,165.3
A4TECH_HEAD-PHONE-HS-12,Mobiles & Tablets,54.0
A4TECH_HEAD-PHONE-HS-60,Mobiles & Tablets,101.7
A4TECH_KEYBOARD-WIRELESS-3000N,Computing,193.2
ABR5AE2FBE29498D,Superstore,85.0
ABT_AUV140-32G-RBE-32GB-UV-140,Computing,139.9
ABT_G100S,Computing,349.9
ABT_K230,Computing,159.9
ABT_K380-DARK GREY,Computing,359.9
ABT_M185- BLUE,Computing,119.9
ABZ-218,Men's Fashion,79.9
ACT5AA7D350C452C,Superstore,18.0
AC_AC-214,Women's Fashion,69.9
AC_AC171-PURPLE-L,Men's Fashion,109.9
ADE59AC6A448B294,Superstore,98.4
ADE59AC6A4968468,Superstore,32.4
ADE59AC6A5243FD2,Superstore,32.4
ADE59AC773B2DA55,Superstore,120.0
ADE59ACB4AAA093B,Superstore,53.5
ADENWALA_DEAL NO.3,Superstore,120.0
ADOLPHS_AD-11,Men's Fashion,81.0
ADOLPHS_AD-15,Men's Fashion,62.5
ADOLPHS_AD-2-L,Men's Fashion,74.9
ADOLPHS_AD-25,Men's Fashion,90.0
ADOLPHS_AD-29,Home & Living,64.9
ADOLPHS_AD-36,Men's Fashion,199.9
ADOLPHS_AD-DR-0038-L,Men's Fashion,60.0
ADOLPHS_AD-DR-0042-M,Men's Fashion,100.0
ADOLPHS_AD-DR-0054-XL,Men's Fashion,60.0
ADOLPHS_AD-DR-0058-XL,Men's Fashion,50.0
ADOLPHS_AD-DR-0060-L,Men's Fashion,30.0
ADOLPHS_AD-DR-0067-L,Men's Fashion,30.0
ADOLPHS_AD-DR-0119-XL,Men's Fashion,40.0
ADOLPHS_AD-DR-0173-M,Men's Fashion,40.0
ADOLPHS_AD-DR-0209-L,Men's Fashion,120.0
AEYS_ACT-121-XL,Men's Fashion,99.9
AG_SOFTOLIN HAND WASH AQUA-500ML,Superstore,12.0
AG_SOFTOLIN HAND WASH PEACH-500ML,Superstore,12.0
AHM59AC916C2999F,Superstore,9.9
AHM59AC9170ACA08,Superstore,12.4
AHM59AC91758A148,Superstore,12.4
AHM59AC9179EFD06,Superstore,12.5
AHM59AC917E74938,Superstore,9.4
AHM59ACABA12A79D,Superstore,16.0
AHM59C0C55972011,Superstore,13.0
AHM59C0C55C9002C,Superstore,12.9
AHM59C0C55FACBF4,Superstore,17.4
AHM59C0C562C28E5,Superstore,17.4
AHM59C0C566004B7,Superstore,13.0
AHM59C0C5691B79B,Superstore,12.9
AHM59C0C56C31E6D,Superstore,12.9
AHM59C0C56F599CC,Superstore,12.9
AHM59C0C57285458,Superstore,14.0
AHM59C0C5758A5EE,Superstore,13.9
AHM59C0C578AA71D,Superstore,14.0
AHM59C0C57C536B8,Superstore,17.4
AHM59C0C57F574BB,Superstore,17.5
AHM59C0C5856725F,Superstore,5.0
AHM59C0C58887C8E,Superstore,4.9
AHM59C0C58BE0057,Superstore,4.0
AHM59C0C58F161B6,Superstore,4.4
AHM59C0C5922FB75,Superstore,6.4
AHM59C0C5955C09C,Superstore,5.4
AHM59C0C59872775,Superstore,4.9
AHM59C0C59B9C886,Superstore,4.9
AHM59C0C59EA810B,Superstore,4.9
AHM59C0C5A1C4DF6,Superstore,4.9
AHM59C0C5A4F1D06,Superstore,4.9
AHM59C0C5A82666A,Superstore,4.9
AHM59C0C5ABA1F90,Superstore,4.9
AHM59C0C5B28A854,Superstore,4.9
AHM59C0C5B5C75E2,Superstore,4.9
AHM59C0C5B90A9B3,Superstore,5.0
AHM59C0C5BC18AAD,Superstore,4.9
AHM59C0C5BF219A8,Superstore,4.9
AHM59C0C5C24237B,Superstore,4.9
AHM59C0C5C57392E,Superstore,4.9
AHM59C0C5C891668,Superstore,5.0
AHM59C0C5CBBAC77,Superstore,5.0
AHM59C0C5CEEC465,Superstore,5.0
AHM59C0C5D21A301,Superstore,5.0
AHM59C0C5DBB8E98,Superstore,7.0
AHM59C0C7451B07E,Superstore,33.0
AHM59C0C74835509,Superstore,10.9
AHM59C0C74B946D1,Superstore,10.9
AHM59C0C74EA1F10,Superstore,24.9
AHM59C0C751BC310,Superstore,24.9
AHM59C0C754E24D7,Superstore,32.9
AHM59C0C75815A61,Superstore,12.9
AHM59C0C75B17A16,Superstore,5.5
AHM59C0C75E52170,Superstore,5.4
AHM59C0C76155343,Superstore,5.5
AHM59C0C76494F69,Superstore,5.4
AHM59C0C767A773C,Superstore,5.4
AHM59C0C76E00F22,Superstore,5.4
AHM59C0C771E3CC6,Superstore,5.4
AHM59C0C775491A2,Superstore,2.7
AHM59C0C7784763B,Superstore,5.9
AHM5AEAE7634A4D8,Superstore,9.9
AHM5AEAE7642D44D,Superstore,9.9
AHM5AEAE764C7447,Superstore,10.8
AHM5AEAE7656EE87,Superstore,10.8
AHM5AEAE76743EF9,Superstore,10.8
AHM5AEAE769AC905,Superstore,22.5
AHM5AEAE76A5FF41,Superstore,22.5
AHM5AEAE76B09BBC,Superstore,24.75
AHM5AEAE76BB6C82,Superstore,24.75
AHM5AEAE77044F0A,Superstore,8.55
AHM5AEAE770D84DD,Superstore,8.55
AHM5AEAE77180E25,Superstore,11.7
AHM5AEAE7723CF46,Superstore,11.7
AHM5AEAE773578E5,Superstore,11.7
AHM5AEAE777401C6,Superstore,4.95
AHM5AEAE778867F7,Superstore,2.52
AHM5AEAE7792A2E0,Superstore,15.75
AHM5AEAE77CA17F0,Superstore,12.6
AHM5AEAE77D4B4DE,Superstore,16.2
AHM5AEAE77DE7F85,Superstore,5.4
AHM5AEAE78021FF9,Superstore,4.05
AHM5AEAE781363C4,Superstore,3.6
AHM5AEAE7824AF6E,Superstore,4.5
AHM5AEAE782E2940,Superstore,4.5
AHM5AEAE7838D788,Superstore,4.5
AHM5AEAE7843162A,Superstore,4.5
AHM5AEAE7858B2E1,Superstore,4.5
AHM5AEAE786D0EDF,Superstore,4.5
AHM5AEAE78779EF3,Superstore,4.5
AHM5AEAE7882103F,Superstore,4.5
AHM5AEAE788C13F1,Superstore,4.5
AHM5AEAE7896891E,Superstore,4.5
AHM5AEAE78A11958,Superstore,4.5
AHM5AEAE78B2C324,Superstore,4.5
AHM5AEAE78BC33FE,Superstore,4.5
AHM5AEAE78D45E0F,Superstore,4.5
AHM5AEAE78DE35A0,Superstore,4.5
AHM5AEAE78F0A106,Superstore,4.5
AHM5AEAE78FAAAAB,Superstore,4.5
AHM5AEAE79067DF5,Superstore,4.5
AHM5AEAE79127143,Superstore,4.5
AHM5AEAE791DA34E,Superstore,4.5
AHM5AEAE79297B1A,Superstore,4.5
AHM5AEAE793571DF,Superstore,6.75
AHM5AEAE79423E0B,Superstore,6.3
AHM5AEAE7956A2B9,Superstore,3.6
AHM5AEAE870EF73F,Superstore,10.8
AI-TCS-0018GREEN-M,Men's Fashion,320.0
AIRLINK_HUAWEI-Y3-11-GOLD,Mobiles & Tablets,940.0
AIRLINK_HUAWEI-Y6II-LTE-DS-BLACK,Mobiles & Tablets,1714.9
AIT5A97FC98E7095,Superstore,35.0
AIT5A97FC9B1EE19,Superstore,35.0
AIT5A97FC9DA1ADD,Superstore,55.0
AIT5A97FCA574C29,Superstore,55.0
AIT5A97FCAB59689,Superstore,55.0
AIT5A97FCBCD7CEE,Superstore,55.0
AIT5ABC844AE20E6,Superstore,35.0
AIT5ABC844C9F684,Superstore,39.0
AIT5ABC844D91F25,Superstore,45.0
AIT5ABC845A4DD49,Superstore,45.0
AIT5ABC84838AB21,Superstore,25.0
AIT5ABC848477FFD,Superstore,35.0
AIT5ABC8486B49C7,Superstore,35.0
AIT5ACF2FF068A71,Superstore,1.7
AL KHAIR_MAZAFATI DATES 400GM,Soghaat,17.0
AL MUHAFIZ SOHAN HALWA ALMOND,Soghaat,37.5
AL MUHAFIZ SOHAN HALWA CASHEW,Soghaat,50.0
AL MUHAFIZ SOHAN HALWA WALNUT,Soghaat,43.8
AL-5ABC844345D6C,Superstore,25.0
AL-5B2CDBFAE958C,Superstore,9.1
AL-5B2CDEC89B437,Superstore,2.1
AL-5B2CE11A5D89F,Superstore,2.5
AL-5B2CEB1E83613,Superstore,40.0
AL-BAKIO_1B157,School & Education,13.0
AL-MUHAFIZ-SOHAN-HALWA-ALMOND-PACK-OF-2,Soghaat,75.0
ALA59AC66C904288,Superstore,29.9
ALADDIN_088-DINKI_BOX-502,Kids & Baby,199.6
ALADDIN_140-FRICTION_POWER_TOYS-6832,Kids & Baby,98.0
ALADDIN_229-RC_CAR-138-19-20,Kids & Baby,61.0
ALADDIN_32-PRAM-S716,Kids & Baby,799.9
ALADDIN_ADJUSTABLE JUMP ROPE WITH COUNTER - YELLOW & ORANGE,Health & Sports,29.0
ALADDIN_BADMINTON NET - WHITE,Health & Sports,49.9
ALADDIN_BOXING BAG & GLOVES - BLACK,Health & Sports,117.9
ALADDIN_BOXING BAG - 3FT,Health & Sports,79.9
ALADDIN_CHEST  EXPANDER,Health & Sports,67.0
ALADDIN_CHROME DUMBBELLS SILVER - 2KG,Health & Sports,81.0
ALADDIN_HAND GRIP PAIR - BLACK,Health & Sports,26.9
ALADDIN_NICER_DICER_PLUS,Home & Living,89.9
ALADDIN_NICE_DICER_PLUS,Home & Living,89.9
ALADDIN_PACK OF 2 WHITE-L,Women's Fashion,44.5
ALADDIN_PACK OF 3 & 1 FREE BEIGE-S,Women's Fashion,54.5
ALADDIN_PACK OF 3 & 1 FREE MULTICOLOUR-M,Women's Fashion,54.5
ALADDIN_PAIR OF GOLD STAR RUBBER COATED METAL DUMBELLS - 2KG - S,Health & Sports,129.9
ALADDIN_RUBBER COATED DUMBELL - 1KG PAIR - BLACK,Health & Sports,58.5
ALADDIN_SETOF2_NICE_DICER_PLUS,Home & Living,159.9
ALADDIN_UMR_CM_1096,School & Education,65.0
ALADDIN_UMR_CM_1097,School & Education,62.0
ALADDIN_WAIST TRIMMER DISC - BLACK,Health & Sports,29.0
ALADDIN_YOGA AND FITNESS MAT - 6MM - ORANGE,Health & Sports,89.9
ALEESA_ALG-TR2-XL,Men's Fashion,92.3
ALEESA_ALG-TR3-M,Men's Fashion,92.3
ALERASHINE_SKU-765,Women's Fashion,150.0
ALHAMRA_US-0965-D,Men's Fashion,125.0
ALHAMRA_US-0970-S,Men's Fashion,89.9
ALHAMRA_US-0972-S,Men's Fashion,149.9
ALHAMRA_US-3010,Men's Fashion,239.9
ALMUHAFIZMULTANISOHANHALWA_AKHROTI_250GM,Soghaat,11.3
ALMUHAFIZMULTANISOHANHALWA_AKHROTI_500GM,Soghaat,22.5
ALMUHAFIZMULTANISOHANHALWA_BADAMI_250GM,Soghaat,10.6
ALMUHAFIZMULTANISOHANHALWA_KAJU_500GM,Soghaat,26.3
ALMUHAFIZMULTANISOHANHALWA_PISTA_250GM,Soghaat,12.5
ALRAFA_AJWA-DATES-400G,Soghaat,139.5
ALS5A6FF85CEA96E,Superstore,39.9
ALS5AFAB62A53DDB,Superstore,91.4
ALS5AFAB62AE1E82,Superstore,176.3
ALS5AFAB62F813C5,Superstore,279.6
ALS5AFAB633825B1,Superstore,5.3
ALS5AFAB6347E33E,Superstore,8.1
ALS5AFAB63519184,Superstore,8.1
ALW59AC660CA0320,Superstore,23.4
ALW59F055D9797AC,Superstore,8.8
ALW59F057054E0B2,Superstore,11.8
ALW59F05708B8778,Superstore,20.9
ALW59F0570BD6760,Superstore,20.9
ALW59F0570F29716,Superstore,11.8
ALW59F057123CC17,Superstore,20.8
ALW59F057404F06D,Superstore,11.8
AMB5AE6ABE0CFDC4,Superstore,156.0
AMB5AE6ABE1BE13F,Superstore,60.0
AME5A697F563EABE,Superstore,22.75
AME5A697F5708CA0,Superstore,17.15
AME5A697F584416B,Superstore,38.15
AME5A697F5BD7BC2,Superstore,31.0
AME5A697F5DDDB5C,Superstore,36.75
AME5A697F616C818,Superstore,24.15
AME5A82D156212C2,Superstore,14.9
AME5A82D1668B56C,Superstore,7.3
AME5A82D175C9873,Superstore,16.6
AME5A82D176AA9B2,Superstore,8.5
AME5A82D1956BE52,Superstore,16.6
AME5A82D19655569,Superstore,8.5
AME5A82D1971809B,Superstore,13.4
AME5A82D197D110D,Superstore,6.9
AME5A82D198931A5,Superstore,13.4
AME5A82D19E58E87,Superstore,3.8
AME5A82D1A0BF655,Superstore,3.1
AME5A82D1AA57AC1,Superstore,4.0
AME5A82D1AC11EB2,Superstore,3.1
AME5A82D1B8CBE1B,Superstore,10.0
AME5A82D1BF8CCF6,Superstore,3.8
AME5A82D1C4C2C91,Superstore,26.7
AME5A82D1C585444,Superstore,13.5
AME5A82D1CAB0DA4,Superstore,15.0
AME5A82D1CB7624D,Superstore,7.7
AME5A82D1CD7543D,Superstore,11.8
AME5A82D1CE38046,Superstore,6.1
AME5A82D1D108393,Superstore,56.3
AME5A82D1DBA4B2F,Superstore,15.0
AME5A82D1DC8C511,Superstore,7.7
AME5A82D1DFAE916,Superstore,13.4
AME5A82D1E270D51,Superstore,6.1
AME5A82D304DF480,Superstore,14.4
AME5A82D3083FDD3,Superstore,3.5
AME5A82D30C57ED5,Superstore,6.1
AME5A82D30D67D4A,Superstore,11.8
AME5A82D3108BD14,Superstore,11.4
AME5A82D3149EC4A,Superstore,11.5
AME5A82D3156E9C1,Superstore,22.6
AME5A82D317E8E1A,Superstore,2.1
AME5A82D31AB3B93,Superstore,3.4
AME5A82D31F964CD,Superstore,19.6
AME5A82D32062CA4,Superstore,39.0
AME5A82D32A3BDF3,Superstore,5.6
AME5A82D32B28B08,Superstore,10.9
AME5A82D32D15F12,Superstore,10.9
AME5A82D32DDB0FD,Superstore,5.7
AME5A82D32EAF4BC,Superstore,9.3
AME5A82D331F17B9,Superstore,11.6
AME5A82D3345E345,Superstore,5.3
AME5A82D3352ADCF,Superstore,10.1
AME5A82D33E52D82,Superstore,2.6
AME5A82D3497F212,Superstore,6.9
AME5A82D35344A48,Superstore,7.9
AME5A82D35A6D15F,Superstore,16.1
AME5A82D35B5C744,Superstore,31.9
AME5A82D35F674B0,Superstore,59.6
AME5A82D36071874,Superstore,6.5
AME5A82D36261CCC,Superstore,24.9
AME5A82D36366921,Superstore,11.8
AME5A82D3644A233,Superstore,3.2
AME5A82D3653FDCA,Superstore,6.1
AME5A82D369572A3,Superstore,7.4
AME5A82D36B99D5B,Superstore,28.4
AME5A82D36D8AFC9,Superstore,14.4
AME5A82D36FAF204,Superstore,7.8
AME5A82D370837AE,Superstore,15.1
AME5A82D375DDF27,Superstore,11.0
AME5A82D37900E5F,Superstore,6.9
AME5A82D379E0EE1,Superstore,13.4
AME5A82D37AEB764,Superstore,33.0
AME5A82D37BC4249,Superstore,20.9
AME5A82D37CC0F59,Superstore,10.6
AME5A82D37E25B67,Superstore,4.0
AME5A82D37F1D500,Superstore,7.6
AME5A82D3816254B,Superstore,6.4
AME5A82D382717D0,Superstore,12.3
AME5A82D38F010C3,Superstore,4.8
AME5A82D38FDA714,Superstore,9.1
AME5A82D391CBDB5,Superstore,6.0
AME5A82D392DDAC8,Superstore,11.6
AMNAISMAIL_09B,Women's Fashion,239.6
AMNAISMAIL_8A,Women's Fashion,239.6
AMT-8081,Mobiles & Tablets,284.2
AMT_AMT-1099,Mobiles & Tablets,178.0
AM_GSBCFW,Women's Fashion,94.5
ANEX_2072,Appliances,147.0
ANEX_AG 631,Appliances,190.0
ANEX_ANEX_AG-174 JUCIER BLENDER GRINDER,Appliances,445.0
ANG59F34347F0B28,Superstore,39.9
ANG59F34359DDC50,Superstore,30.9
ANG59F8658D0E504,Superstore,38.9
ANG59F865AF57E60,Superstore,79.9
ANG59F865B543E21,Superstore,32.9
ANG59F865BE5A707,Superstore,44.9
ANG59F865DAF2F23,Superstore,20.9
ANG5AB109F273259,Superstore,39.9
ANG5AB109F30586C,Superstore,79.9
APPAAR59AD9B753F6B9,Appliances,207.8
APPAAR59AD9BAF95DE6,Appliances,222.2
APPAAR59AD9BB29724E,Appliances,172.2
APPAAR59E7951683D6D,Appliances,227.3
APPAAR59F33EFC25BCD,Appliances,1355.6
APPAAR59F33F02334FD,Appliances,425.5
APPAAR59F33F054383A,Appliances,177.7
APPAAR59F33F111910E,Appliances,215.7
APPAAR59F33F2347B9E,Appliances,744.6
APPAAR59F33F4DEFE3F,Appliances,744.7
APPAAR59F33FB9BF90A,Appliances,383.0
APPAAR59F33FBCC71BF,Appliances,449.9
APPAAR59F340E2B1756,Appliances,359.6
APPAAR59F340F4BDABA,Appliances,539.2
APPAAR5A042FB6E8521,Appliances,247.2
APPAAR5A2F88143F3CB,Appliances,1495.0
APPABD59FADA1E75C31,Appliances,929.8
APPABD59FADF8C33528,Appliances,550.5
APPAFC5ADC5C119EEE6,Appliances,10.5
APPAIR5A6805F93EEDA,Appliances,3684.2
APPALA59AC66BD42EDE,Appliances,39.9
APPALA59AC66C4E637B,Appliances,70.0
APPALA59AC79A730E11,Appliances,39.9
APPALA59C9F7FBCCA22,Appliances,101.9
APPALP59E772683780D,Appliances,342.0
APPALP59FAD9EDE46C0,Appliances,259.5
APPALP59FADFA90D476,Appliances,302.0
APPALP5A38C5A4AD663,Appliances,631.5
APPALP5A38C5B247405,Appliances,305.6
APPALP5A38C5B36D9C0,Appliances,423.5
APPALP5A38C5B51B9C4,Appliances,457.4
APPALP5A38C5C559C8A,Appliances,1890.0
APPALP5AC4B357C06F8,Appliances,1157.9
APPALP5AC4B5A650205,Appliances,1115.8
APPALP5AC4B6AC2EF43,Appliances,894.7
APPAMA5A4C7F491FBB7,Appliances,69.9
APPAMA5A4C7F4AACC73,Appliances,99.9
APPAMA5A4C7F4B7DBDF,Appliances,179.8
APPAMA5A4C7F4C1E894,Appliances,199.9
APPAMA5A4C7F4CC8D2C,Appliances,30.0
APPANE59AC41CB501A5,Appliances,614.4
APPANE59AC41CF5140F,Appliances,69.7
APPANE59AC41DA7AE01,Appliances,219.7
APPANE59AC41DEB6F95,Appliances,189.3
APPANE59AC41E626F22,Appliances,284.5
APPANE59AC41ED7F314,Appliances,289.3
APPANE59AC41F149B50,Appliances,246.3
APPANE59AC41FD9F634,Appliances,267.9
APPANE59AC4201A4E0B,Appliances,253.0
APPANE59AC4205793E0,Appliances,457.9
APPANE59AC4209E8181,Appliances,151.1
APPANE59AC420EBF8CA,Appliances,148.0
APPANE59AC42164FACE,Appliances,323.6
APPANE59AC421A8F831,Appliances,458.0
APPANE59AC421EDAC4A,Appliances,465.2
APPANE59AC422712B09,Appliances,599.9
APPANE59AC422ABBB31,Appliances,642.1
APPANE59AC422EE55C6,Appliances,693.8
APPANE59AC4232E6F8A,Appliances,333.0
APPANE59AC4236ADF0F,Appliances,428.8
APPANE59AC423AB7074,Appliances,438.2
APPANE59AC423F03DDA,Appliances,487.4
APPANE59AC424309F4D,Appliances,520.8
APPANE59AC425A7F66A,Appliances,202.2
APPANE59AC54F8BCB4C,Appliances,190.0
APPANE59AC62FEC2673,Appliances,201.7
APPANE59AC6302A55F6,Appliances,225.5
APPANE59AC6320C49BC,Appliances,144.0
APPANE59AC632962E41,Appliances,459.6
APPANE59AC6BCE5A987,Appliances,341.3
APPANE59AC7E11216AC,Appliances,210.0
APPANE59AC88E892381,Appliances,247.0
APPANE59ACA74D70D91,Appliances,142.1
APPANE59AD34F2EA2FB,Appliances,167.5
APPANE59AD34FAD959E,Appliances,212.5
APPANE59ADA2651A59C,Appliances,647.2
APPANE59BA231373E94,Appliances,75.0
APPANE59BA24816E56C,Appliances,477.5
APPANE59BA8F23A9CC4,Appliances,158.4
APPANE59BA8F27210EE,Appliances,158.4
APPANE59BA8F2AAC86E,Appliances,161.2
APPANE59BA8F2E39F22,Appliances,221.3
APPANE59BA8F31BC622,Appliances,218.5
APPANE59BA8F757D502,Appliances,174.5
APPANE59BAFB6D2FC2D,Appliances,289.3
APPANE59BAFB745241A,Appliances,414.6
APPANE59BAFB828ECA5,Appliances,320.6
APPANE59BAFB898A769,Appliances,391.5
APPANE59BAFB8D0865A,Appliances,561.8
APPANE59BAFB908C477,Appliances,608.4
APPANE59BAFB940A7E8,Appliances,702.1
APPANE59BAFB97AD574,Appliances,65.7
APPANE59BAFB9B3FF66,Appliances,88.8
APPANE59BAFBA7AE5B4,Appliances,257.9
APPANE59BAFBAB4F1DB,Appliances,298.3
APPANE59BAFBB5DFD39,Appliances,277.5
APPANE59BAFBB96083A,Appliances,142.0
APPANE59BAFBBCE1028,Appliances,136.5
APPANE59BAFBC05050E,Appliances,136.5
APPANE59BAFBC3C7FB4,Appliances,203.9
APPANE59BD01ECC3239,Appliances,446.6
APPANE59BD020E370CC,Appliances,185.9
APPANE59BD024CDD2EA,Appliances,189.9
APPANE59BD02530F9D5,Appliances,251.8
APPANE59BD0255432CB,Appliances,226.5
APPANE59BD0264D918C,Appliances,383.0
APPANE59BD027A02D8B,Appliances,257.0
APPANE59BD02D0039F2,Appliances,170.0
APPANE59BD02DF78BC0,Appliances,242.0
APPANE59BD0322E00EF,Appliances,189.8
APPANE59BD0328A8842,Appliances,189.9
APPANE59BD033D5B27C,Appliances,529.8
APPANE59BD0343A01B2,Appliances,567.8
APPANE59BD0346A515B,Appliances,463.4
APPANE59BD0349CE281,Appliances,252.8
APPANE59BD03565BE48,Appliances,322.6
APPANE59BD03602F0AB,Appliances,323.6
APPANE59BD038C086B8,Appliances,127.0
APPANE59CA4D0394F17,Appliances,369.4
APPANE59CA4D09A5F93,Appliances,440.9
APPANE59CA4D0CC2EA8,Appliances,175.4
